,time,latitude,longitude,depth,mag,id,updated,place,type,horizontalError,depthError,magError,state
101,2021-01-14T19:41:57.870Z,38.7999992,-122.737999,1.16,1.32,nc73510925,2021-01-14T19:43:33.747Z,"3km SSW of Cobb, CA",earthquake,0.24,0.46,0.15, CA
105,2021-01-14T19:55:26.190Z,33.3525,-116.2766667,7.9,1.45,ci39757376,2021-01-14T19:59:10.634Z,"14km NE of Borrego Springs, CA",earthquake,1.86,11.45,0.333, CA
106,2021-01-14T19:55:36.270Z,33.1863333,-115.6016667,2.62,1.8,ci39757376,2021-01-14T21:33:30.000Z,"10km SW of Niland, CA",earthquake,0.49,0.45,0.362, CA
107,2021-01-14T20:11:12.820Z,40.87649920000001,-123.8328323,25.67,2.42,nc73510940,2021-01-14T20:15:11.580Z,"13km E of Blue Lake, CA",earthquake,0.57,0.91,0.17, CA
108,2021-01-14T20:13:31.210Z,33.2085,-116.033,10.37,1.18,ci39757384,2021-01-15T01:28:10.221Z,"12km NE of Ocotillo Wells, CA",earthquake,0.22,0.78,0.12, CA
109,2021-01-14T20:13:31.340Z,33.209999100000005,-116.03116609999998,9.96,1.38,ci39757384,2021-01-14T20:15:36.940Z,"12km NE of Ocotillo Wells, CA",earthquake,0.37,2.0,0.061, CA
110,2021-01-14T20:13:31.440Z,33.2206667,-116.032,13.14,1.18,ci39757384,2021-01-14T20:17:17.781Z,"11km SW of Salton City, CA",earthquake,0.44,3.02,0.14400000000000002, CA
111,2021-01-14T20:15:52.350Z,38.8284988,-122.855835,2.12,0.77,nc73510945,2021-01-14T20:25:04.644Z,"10km WNW of The Geysers, CA",earthquake,0.22,0.45,0.15, CA
112,2021-01-14T20:26:10.100Z,36.8033333,-121.5465012,6.57,0.84,nc73510950,2021-01-14T20:35:04.702Z,"5km S of San Juan Bautista, CA",earthquake,0.62,1.0,0.23, CA
115,2021-01-14T20:41:15.560Z,39.058,-123.379,5.29,0.8,nc73510955,2021-01-14T22:32:05.351Z,"6km NNW of Boonville, CA",earthquake,0.43,1.61,0.123, CA
116,2021-01-14T20:45:05.580Z,38.8273315,-122.7968369,2.57,1.03,nc73510960,2021-01-14T20:46:44.902Z,"6km W of Cobb, CA",earthquake,0.2,0.42,0.33, CA
117,2021-01-14T21:11:07.470Z,35.6563333,-117.4758333,0.65,1.58,ci39757432,2021-01-14T21:14:58.138Z,"14km SSW of Searles Valley, CA",earthquake,0.26,0.57,0.133, CA
118,2021-01-14T21:11:07.730Z,35.6595,-117.4775,3.03,1.57,ci39757432,2021-01-15T01:37:08.590Z,"14km SSW of Searles Valley, CA",earthquake,0.3,1.48,0.122, CA
120,2021-01-14T21:23:29.510Z,34.092833299999995,-116.8545,3.63,0.95,ci39757456,2021-01-15T01:38:54.286Z,"18km SSE of Big Bear Lake, CA",earthquake,0.23,0.43,0.19, CA
121,2021-01-14T21:23:29.570Z,34.091333299999995,-116.85616670000002,2.89,0.97,ci39757456,2021-01-14T21:27:07.398Z,"18km SSE of Big Bear Lake, CA",earthquake,0.51,1.1,0.211, CA
122,2021-01-14T21:23:29.590Z,34.086498299999995,-116.8639984,4.42,1.03,ci39757456,2021-01-14T21:25:34.574Z,"18km ENE of Yucaipa, CA",earthquake,0.99,0.52,0.155, CA
123,2021-01-14T21:40:13.300Z,34.0698333,-117.2723333,16.95,1.78,ci39757464,2021-01-14T22:12:28.832Z,"3km NNW of Loma Linda, CA",earthquake,0.15,0.3,0.138, CA
124,2021-01-14T21:40:13.450Z,34.0723333,-117.2715,14.56,1.8,ci39757472,2021-01-14T21:44:15.900Z,"3km NNW of Loma Linda, CA",earthquake,0.23,0.45,0.16, CA
125,2021-01-14T21:52:57.150Z,37.027832,-121.4691696,1.38,1.72,nc73510980,2021-01-14T21:54:33.480Z,"9km ENE of Gilroy, CA",earthquake,5.11,9.25,, CA
126,2021-01-14T22:15:25.780Z,35.7221667,-117.5331667,7.27,1.8,ci39757504,2021-01-14T22:19:11.435Z,"13km WSW of Searles Valley, CA",earthquake,0.42,1.55,0.127, CA
129,2021-01-14T22:25:11.680Z,32.7488333,-115.8155,8.36,1.65,ci39757528,2021-01-14T22:29:03.039Z,"17km E of Ocotillo, CA",earthquake,0.4,1.42,0.117, CA
130,2021-01-14T22:25:11.680Z,32.748000000000005,-115.82183329999998,9.35,1.6,ci39757528,2021-01-15T01:52:31.373Z,"16km E of Ocotillo, CA",earthquake,0.21,0.57,0.107, CA
133,2021-01-14T22:30:21.960Z,33.9401665,-117.7624969,0.44,1.37,ci39757544,2021-01-14T22:34:13.065Z,"6km S of Chino Hills, CA",earthquake,0.82,1.57,0.417, CA
137,2021-01-14T22:51:38.700Z,35.9543343,-120.9506683,7.22,1.22,nc73510990,2021-01-14T22:53:13.184Z,"8km SSW of San Ardo, CA",earthquake,3.17,3.04,0.3, CA
139,2021-01-14T22:58:25.500Z,38.8334999,-122.8111649,2.0,0.56,nc73510995,2021-01-14T23:00:02.533Z,"8km W of Cobb, CA",earthquake,0.44,1.42,, CA
